REF_DATE,GEO,DGUID,Type of cannabis,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
2021/2022,Canada,2021A000011124,Total cannabis products,Dollars,81,thousands,3,4027928.0
2021/2022,Canada,2021A000011124,Dried cannabis,Dollars,81,thousands,3,2861838.0
2021/2022,Canada,2021A000011124,Inhaled cannabis extracts,Dollars,81,thousands,3,729178.0
2021/2022,Canada,2021A000011124,Ingested cannabis extracts,Dollars,81,thousands,3,158283.0
2021/2022,Canada,2021A000011124,Solid cannabis edibles,Dollars,81,thousands,3,166336.0
2021/2022,Canada,2021A000011124,Cannabis beverages,Dollars,81,thousands,3,59556.0
2021/2022,Canada,2021A000011124,"Topicals, seeds, and other cannabis products",Dollars,81,thousands,3,52737.0
2021/2022,Canada,2021A000011124,Total cannabis products,Dollars,81,units,0,132.0
2021/2022,Canada,2021A000011124,Dried cannabis,Dollars,81,units,0,94.0
2021/2022,Canada,2021A000011124,Inhaled cannabis extracts,Dollars,81,units,0,24.0
2021/2022,Canada,2021A000011124,Ingested cannabis extracts,Dollars,81,units,0,5.0
2021/2022,Canada,2021A000011124,Solid cannabis edibles,Dollars,81,units,0,5.0
2021/2022,Canada,2021A000011124,Cannabis beverages,Dollars,81,units,0,2.0
2021/2022,Canada,2021A000011124,"Topicals, seeds, and other cannabis products",Dollars,81,units,0,2.0
2021/2022,Newfoundland and Labrador,2021A000210,Total cannabis products,Dollars,81,thousands,3,63125.0
2021/2022,Newfoundland and Labrador,2021A000210,Dried cannabis,Dollars,81,thousands,3,53553.0
2021/2022,Newfoundland and Labrador,2021A000210,Inhaled cannabis extracts,Dollars,81,thousands,3,2415.0
2021/2022,Newfoundland and Labrador,2021A000210,Ingested cannabis extracts,Dollars,81,thousands,3,3100.0
2021/2022,Newfoundland and Labrador,2021A000210,Solid cannabis edibles,Dollars,81,thousands,3,3011.0
2021/2022,Newfoundland and Labrador,2021A000210,Cannabis beverages,Dollars,81,thousands,3,797.0
2021/2022,Newfoundland and Labrador,2021A000210,"Topicals, seeds, and other cannabis products",Dollars,81,thousands,3,249.0
2021/2022,Newfoundland and Labrador,2021A000210,Total cannabis products,Dollars,81,units,0,147.0
2021/2022,Newfoundland and Labrador,2021A000210,Dried cannabis,Dollars,81,units,0,124.0
2021/2022,Newfoundland and Labrador,2021A000210,Inhaled cannabis extracts,Dollars,81,units,0,6.0
2021/2022,Newfoundland and Labrador,2021A000210,Ingested cannabis extracts,Dollars,81,units,0,7.0
2021/2022,Newfoundland and Labrador,2021A000210,Solid cannabis edibles,Dollars,81,units,0,7.0
2021/2022,Newfoundland and Labrador,2021A000210,Cannabis beverages,Dollars,81,units,0,2.0
2021/2022,Newfoundland and Labrador,2021A000210,"Topicals, seeds, and other cannabis products",Dollars,81,units,0,1.0
2021/2022,Prince Edward Island,2021A000211,Total cannabis products,Dollars,81,thousands,3,21894.0
2021/2022,Prince Edward Island,2021A000211,Dried cannabis,Dollars,81,thousands,3,17515.0
2021/2022,Prince Edward Island,2021A000211,Inhaled cannabis extracts,Dollars,81,thousands,3,876.0
2021/2022,Prince Edward Island,2021A000211,Ingested cannabis extracts,Dollars,81,thousands,3,1095.0
