Object_ID,Year,Event_Count,Neighbourhood
1,2015,648,Lambton Baby Point (114)
2,2015,1886,Weston-Pelham Park (091)
3,2015,2,Stonegate-Queensway (016)
4,2015,4,Harbourfront-CityPlace (165)
5,2015,83,Little Portugal (084)
6,2015,3270,Junction-Wallace Emerson (171)
7,2015,235,Dovercourt Village (172)
8,2015,2608,Junction Area (090)
9,2015,814,South Parkdale (085)
10,2015,1,Humber Bay Shores (161)
11,2015,1677,Dufferin Grove (083)
12,2015,2879,High Park North (088)
13,2015,200,Rockcliffe-Smythe (111)
14,2015,2970,Roncesvalles (086)
15,2015,1,Beechborough-Greenbrook (112)
16,2015,1,Church-Wellesley (167)
17,2015,3015,High Park-Swansea (087)
18,2015,2,Forest Hill South (101)
19,2015,35,South Parkdale (085)
20,2015,1,Downtown Yonge East (168)
21,2015,22,NSA (NSA)
22,2015,1,Junction-Wallace Emerson (171)
23,2015,586,Little Portugal (084)
24,2015,1420,Runnymede-Bloor West Village (089)
25,2015,2,Corso Italia-Davenport (092)
26,2015,498,Roncesvalles (086)
27,2015,77,Dufferin Grove (083)
28,2015,7,Rustic (028)
29,2015,1,Glenfield-Jane Heights (025)
30,2015,614,Junction Area (090)
31,2015,1,Oakdale-Beverley Heights (154)
32,2015,62,Maple Leaf (029)
33,2015,15,Pelmo Park-Humberlea (023)
34,2015,1,Elms-Old Rexdale (005)
35,2015,1,Briar Hill-Belgravia (108)
36,2015,3079,Rockcliffe-Smythe (111)
37,2015,7,NSA (NSA)
38,2015,2023,Beechborough-Greenbrook (112)
39,2015,1001,Pelmo Park-Humberlea (023)
40,2015,1,Corso Italia-Davenport (092)
41,2015,2167,Mount Dennis (115)
42,2015,595,Weston-Pelham Park (091)
43,2015,2,West Humber-Clairville (001)
44,2015,846,Maple Leaf (029)
45,2015,1662,Rustic (028)
46,2015,1,Yorkdale-Glen Park (031)
47,2015,1363,Keelesdale-Eglinton West (110)
48,2015,2586,Brookhaven-Amesbury (030)
49,2015,10,Rockcliffe-Smythe (111)
50,2015,17,Junction Area (090)
51,2015,3689,Cabbagetown-South St.James Town (071)
52,2015,13,Rosedale-Moore Park (098)
53,2015,2318,Regent Park (072)
54,2015,8432,Downtown Yonge East (168)
55,2015,17,Downtown Yonge East (168)
56,2015,3453,North St.James Town (074)
57,2015,14,NSA (NSA)
58,2015,1,Mount Dennis (115)
59,2015,1,Danforth East York (059)
60,2015,3038,St Lawrence-East Bayfront-The Islands (166)
61,2015,243,Rosedale-Moore Park (098)
62,2015,3,Yonge-Bay Corridor (170)
63,2015,3,Bay-Cloverhill (169)
64,2015,85,South Riverdale (070)
65,2015,1,Victoria Village (043)
66,2015,1,Forest Hill South (101)
67,2015,317,South Riverdale (070)
68,2015,1,North Riverdale (068)
69,2015,1,St.Andrew-Windfields (040)
70,2015,1,Wellington Place (164)
71,2015,980,University (079)
72,2015,8924,Yonge-Bay Corridor (170)
73,2015,1,Golfdale-Cedarbrae-Woburn (141)
74,2015,1,Moss Park (073)
75,2015,1,Wellington Place (164)
76,2015,4033,Wellington Place (164)
77,2015,1,University (079)
78,2015,358,Downtown Yonge East (168)
79,2015,138,Church-Wellesley (167)
80,2015,12,NSA (NSA)
81,2015,4235,Kensington-Chinatown (078)
82,2015,1,Harbourfront-CityPlace (165)
83,2015,1,South Riverdale (070)
84,2015,180,Rosedale-Moore Park (098)
85,2015,1057,Downtown Yonge East (168)
86,2015,1499,Harbourfront-CityPlace (165)
87,2015,1,North Riverdale (068)
88,2015,303,Annex (095)
89,2015,2873,Bay-Cloverhill (169)
90,2015,21,St Lawrence-East Bayfront-The Islands (166)
91,2015,1588,St Lawrence-East Bayfront-The Islands (166)
92,2015,1,Annex (095)
93,2015,986,Yonge-St.Clair (097)
94,2015,7,Lawrence Park North (105)
95,2015,39,Rosedale-Moore Park (098)
96,2015,40,Annex (095)
97,2015,440,Casa Loma (096)
98,2015,425,Forest Hill North (102)
99,2015,3,Thorncliffe Park (055)
100,2015,2,Leaside-Bennington (056)
101,2015,13,Victoria Village (043)
102,2015,969,Pleasant View (046)
103,2015,30,Steeles (116)
104,2015,756,Banbury-Don Mills (042)
105,2015,3734,Banbury-Don Mills (042)
106,2015,1708,Bayview Village (052)
107,2015,1,Leaside-Bennington (056)
108,2015,1217,St.Andrew-Windfields (040)
109,2015,723,Bayview Woods-Steeles (049)
110,2015,1,Lansing-Westgate (038)
111,2015,1,Flemingdon Park (044)
112,2015,1171,Henry Farm (053)
113,2015,273,L'Amoreaux West (147)
114,2015,28,NSA (NSA)
115,2015,987,Victoria Village (043)
116,2015,1511,Hillcrest Village (048)
117,2015,43,Tam O'Shanter-Sullivan (118)
118,2015,168,Bridle Path-Sunnybrook-York Mills (041)
119,2015,1,Bendale South (157)
120,2015,2192,Fenside-Parkwoods (150)
121,2015,237,NSA (NSA)
122,2015,1390,Parkwoods-O'Connor Hills (149)
123,2015,1,Ionview (125)
124,2015,2549,Don Valley Village (047)
125,2015,1,The Beaches (063)
126,2015,659,Cliffcrest (123)
127,2015,1,Highland Creek (134)
128,2015,1,Birchcliffe-Cliffside (122)
129,2015,3740,Clairlea-Birchmount (120)
130,2015,1,Downtown Yonge East (168)
131,2015,19,Tam O'Shanter-Sullivan (118)
132,2015,34,Agincourt South-Malvern West (128)
133,2015,3563,Kennedy Park (124)
134,2015,246,Bendale-Glen Andrew (156)
135,2015,1042,Bendale-Glen Andrew (156)
136,2015,10,NSA (NSA)
137,2015,2580,Oakridge (121)
138,2015,373,Bendale South (157)
139,2015,2,O'Connor-Parkview (054)
140,2015,1046,Eglinton East (138)
141,2015,1,Guildwood (140)
142,2015,3156,Dorset Park (126)
143,2015,19,Bendale South (157)
144,2015,1,Tam O'Shanter-Sullivan (118)
145,2015,3,Agincourt South-Malvern West (128)
146,2015,1,South Riverdale (070)
147,2015,147,Eglinton East (138)
148,2015,2,Woburn North (142)
149,2015,1,Greenwood-Coxwell (065)
150,2015,1,Taylor-Massey (061)
151,2015,3804,Weston (113)
152,2015,607,Englemount-Lawrence (032)
153,2015,3,Wychwood (094)
154,2015,1655,Yorkdale-Glen Park (031)
155,2015,9,NSA (NSA)
156,2015,591,Forest Hill South (101)
157,2015,2310,Briar Hill-Belgravia (108)
158,2015,44,Forest Hill South (101)
159,2015,2045,Corso Italia-Davenport (092)
160,2015,1,Yonge-Eglinton (100)
161,2015,964,Casa Loma (096)
162,2015,197,Bedford Park-Nortown (039)
163,2015,486,Junction-Wallace Emerson (171)
164,2015,1023,Forest Hill North (102)
165,2015,1,Rosedale-Moore Park (098)
166,2015,59,Casa Loma (096)
167,2015,109,Yorkdale-Glen Park (031)
168,2015,1954,Wychwood (094)
169,2015,1617,Humewood-Cedarvale (106)
170,2015,2789,Oakwood Village (107)
171,2015,1,Dovercourt Village (172)
172,2015,1121,Caledonia-Fairbank (109)
173,2015,1,Weston-Pelham Park (091)
174,2015,65,Forest Hill North (102)
175,2015,2726,Annex (095)
176,2015,1155,Harbourfront-CityPlace (165)
177,2015,313,University (079)
178,2015,3226,West Queen West (162)
179,2015,1755,Little Portugal (084)
180,2015,709,Harbourfront-CityPlace (165)
181,2015,2163,Wellington Place (164)
182,2015,429,Wellington Place (164)
183,2015,225,Roncesvalles (086)
184,2015,19,NSA (NSA)
185,2015,1,Roncesvalles (086)
186,2015,3132,Fort York-Liberty Village (163)
187,2015,3623,Trinity-Bellwoods (081)
188,2015,1,Eringate-Centennial-West Deane (011)
189,2015,1,Corso Italia-Davenport (092)
190,2015,582,Dufferin Grove (083)
191,2015,155,Annex (095)
192,2015,1,Little Portugal (084)
193,2015,1,Junction Area (090)
194,2015,2079,Palmerston-Little Italy (080)
195,2015,1578,University (079)
196,2015,3958,Kensington-Chinatown (078)
197,2015,1941,Dovercourt Village (172)
198,2015,1,Clairlea-Birchmount (120)
199,2015,650,Kensington-Chinatown (078)
200,2015,6099,South Parkdale (085)
201,2015,1,Bathurst Manor (034)
202,2015,1,Rustic (028)
203,2015,1,Thistletown-Beaumond Heights (003)
204,2015,4085,Glenfield-Jane Heights (025)
205,2015,1,Maple Leaf (029)
206,2015,1584,Humbermede (022)
207,2015,116,NSA (NSA)
208,2015,1,Newtonbrook West (036)
209,2015,1,Weston (113)
210,2015,1,Clanton Park (033)
211,2015,1,Junction Area (090)
212,2015,416,NSA (NSA)
213,2015,60,Bridle Path-Sunnybrook-York Mills (041)
214,2015,1091,East Willowdale (152)
215,2015,199,Bayview Village (052)
216,2015,1598,Yonge-Doris (151)
217,2015,1,Morningside Heights (144)
218,2015,121,Bayview Woods-Steeles (049)
219,2015,70,Englemount-Lawrence (032)
220,2015,795,Downsview (155)
221,2015,66,Bedford Park-Nortown (039)
222,2015,1,Briar Hill-Belgravia (108)
223,2015,1776,Bedford Park-Nortown (039)
224,2015,1481,Westminster-Branson (035)
